,RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT,GMS,TOTAL,AVG,PCT
0,1,Dallas,6,551200,91866,114.8,6,432316,72052,97.0,12,983516,81959,106.2
1,2,NY Giants,6,474552,79092,95.9,6,448289,74714,99.4,12,922841,76903,97.6
2,3,Green Bay,6,470527,78421,107.5,6,400513,66752,101.5,12,871040,72586,104.7
3,4,NY Jets,6,468960,78160,94.7,5,339365,67873,97.4,11,808325,73484,95.8
4,5,Denver,5,384845,76969,101.1,7,459776,65682,97.1,12,844621,70385,98.9
5,6,Washington,7,529548,75649,82.5,5,365666,73133,96.5,12,895214,74601,87.7
6,7,Kansas City,4,301061,75265,98.1,7,457788,65398,97.4,11,758849,68986,97.7
7,8,Carolina,6,443865,73977,100.3,6,414818,69136,98.3,12,858683,71556,99.3
8,9,New Orleans,6,438224,73037,100.1,6,418885,69814,97.3,12,857109,71425,98.7
9,10,Houston,6,430352,71725,100.9,6,396419,66069,95.3,12,826771,68897,98.1
10,11,Baltimore,5,354787,70957,99.9,7,458647,65521,96.6,12,813434,67786,98.0
11,12,San Francisco,6,424794,70799,103.4,6,390938,65156,96.6,12,815732,67977,100.0
12,13,Atlanta,6,422165,70360,98.8,6,433390,72231,98.8,12,855555,71296,98.8
13,14,Buffalo,6,420205,70034,95.8,5,348021,69604,96.0,11,768226,69838,95.9
14,15,Philadelphia,5,347080,69416,102.7,7,520738,74391,97.8,12,867818,72318,99.7
15,16,Seattle,6,414080,69013,103.0,6,409944,68324,101.9,12,824024,68668,102.5
16,17,New England,7,467803,66829,97.2,5,388669,77733,103.7,12,856472,71372,100.1
17,18,San Diego,7,467504,66786,93.7,5,318719,63743,97.6,12,786223,65518,95.2
18,19,Cleveland,6,398879,66479,90.8,6,394657,65776,93.8,12,793536,66128,92.3
19,20,Indianapolis,6,396565,66094,104.9,6,411241,68540,97.1,12,807806,67317,100.8
20,21,Miami,4,259754,64938,99.4,7,489096,69870,94.1,11,748850,68077,95.9
21,22,Pittsburgh,7,447620,63945,98.4,5,332340,66468,95.2,12,779960,64996,97.0
22,23,Arizona,5,319179,63835,100.7,7,445363,63623,95.8,12,764542,63711,97.8
23,24,Chicago,6,374084,62347,101.4,6,407623,67937,97.6,12,781707,65142,99.4
24,25,Tennessee,7,436282,62326,90.1,5,336202,67240,96.0,12,772484,64373,92.6
25,26,Cincinnati,6,368300,61383,93.7,6,389333,64888,95.3,12,757633,63136,94.5
26,27,Detroit,7,429469,61352,95.1,4,265943,66485,101.8,11,695412,63219,97.6
27,28,Tampa Bay,6,366608,61101,93.1,6,423452,70575,96.8,12,790060,65838,95.0
28,29,Jacksonville,5,303859,60771,90.5,6,397280,66213,94.6,11,701139,63739,92.8
29,30,Oakland,6,327423,54570,86.6,6,381179,63529,94.2,12,708602,59050,90.5
30,31,St. Louis,6,316723,52787,80.8,6,398571,66428,96.1,12,715294,59607,88.7
31,32,Minnesota,6,314564,52427,104.9,6,395680,65946,97.7,12,710244,59187,100.8
